accidente_tipo_1,accidente_tipo_2,mes,anio,numero_accidentes,numero_heridos,numero_muertes
auto_humano,cruzando,total,2005,20758.0,20642.0,1323.0
auto_humano,cruzando,total,2006,22832.0,22880.0,1383.0
auto_humano,cruzando,total,2007,22352.0,22531.0,1326.0
auto_humano,cruzando,total,2008,22701.0,22992.0,1177.0
auto_humano,cruzando,total,2009,22828.0,23205.0,1171.0
auto_humano,cruzando,total,2010,21788.0,22082.0,1063.0
auto_humano,cruzando,total,2011,20205.0,20502.0,1028.0
auto_humano,cruzando,total,2012,19537.0,19873.0,1003.0
auto_humano,cruzando,total,2013,18165.0,18452.0,922.0
auto_humano,cruzando,total,2014,17544.0,17838.0,883.0
auto_humano,cruzando,total,2015,21913.0,22393.0,954.0
auto_humano,cruzando,total,2016,26823.0,27431.0,1085.0
auto_humano,cruzando,total,2017,25381.0,26001.0,974.0
auto_humano,cruzando,total,2018,18390.0,18795.0,794.0
auto_humano,cruzando,total,2019,18101.0,18577.0,652.0
auto_humano,cruzando,total,2020,13147.0,13551.0,520.0
auto_humano,cruzando,total,2021,12767.0,13121.0,445.0
auto_humano,cruzando,enero,2005,1414.0,1360.0,120.0
auto_humano,cruzando,enero,2006,1530.0,1531.0,103.0
auto_humano,cruzando,enero,2007,1566.0,1535.0,117.0
auto_humano,cruzando,enero,2008,1570.0,1555.0,97.0
auto_humano,cruzando,enero,2009,1612.0,1607.0,122.0
auto_humano,cruzando,enero,2010,1609.0,1603.0,94.0
auto_humano,cruzando,enero,2011,1672.0,1680.0,98.0
auto_humano,cruzando,enero,2012,1553.0,1542.0,107.0
auto_humano,cruzando,enero,2013,1514.0,1515.0,84.0
auto_humano,cruzando,enero,2014,1370.0,1360.0,81.0
auto_humano,cruzando,enero,2015,1693.0,1708.0,100.0
auto_humano,cruzando,enero,2016,2278.0,2315.0,89.0
auto_humano,cruzando,enero,2017,2433.0,2465.0,121.0
auto_humano,cruzando,enero,2018,1667.0,1707.0,88.0
auto_humano,cruzando,enero,2019,1532.0,1552.0,69.0
auto_humano,cruzando,enero,2020,1443.0,1479.0,62.0
auto_humano,cruzando,enero,2021,1017.0,1036.0,33.0
auto_humano,cruzando,febrero,2005,1245.0,1209.0,96.0
auto_humano,cruzando,febrero,2006,1469.0,1464.0,81.0
auto_humano,cruzando,febrero,2007,1586.0,1596.0,120.0
auto_humano,cruzando,febrero,2008,1454.0,1465.0,98.0
auto_humano,cruzando,febrero,2009,1595.0,1628.0,91.0
